Counter,Timestamp_ms,SPS30_Particles,SPS30_Conc,PMSA_Particles,PMSA_Conc
1,4504,6,1,0,0
2,5511,5,1,0,0
3,6522,5,1,0,0
4,7528,5,1,0,0
5,8539,5,1,0,0
6,9545,5,1,0,0
7,10556,5,1,0,0
8,11562,5,1,0,0
9,12573,5,1,0,0
10,13579,5,1,0,0
11,14590,5,1,0,0
12,15596,5,1,0,0
13,16607,5,1,0,0
14,17613,5,1,0,0
15,18624,5,1,0,0
16,19630,5,1,0,0
17,20641,5,1,0,0
18,21647,5,1,0,0
19,22658,5,1,0,0
20,23664,5,1,0,0
21,24675,5,1,0,0
22,25681,5,1,0,0
23,26692,4,1,0,0
24,27698,4,1,0,0
25,28709,4,1,0,0
26,29715,4,1,0,0
27,30726,4,1,0,0
28,31732,4,1,0,0
29,32743,4,1,0,0
30,33749,4,1,0,0
31,34760,4,1,0,0
32,35766,4,1,0,0
33,36777,4,1,0,0
34,37783,4,1,0,0
35,38794,4,1,0,0
36,39800,4,1,0,0
37,40811,4,1,0,0
38,41818,4,1,0,0
39,42829,4,1,0,0
40,43835,4,1,0,0
41,44846,4,1,0,0
42,45852,4,1,0,0
43,46863,4,0,0,0
44,47869,4,0,0,0
45,48880,4,0,0,0
46,49886,4,1,0,0
47,50897,4,1,0,0
48,51903,4,1,0,0
49,52914,4,1,0,0
50,53920,4,1,0,0
51,54931,4,1,0,0
52,55937,4,1,0,0
53,56948,4,1,0,0
54,57954,4,1,0,0
55,58965,4,1,0,0
56,59971,4,1,0,0
57,60982,5,1,0,0
58,61988,5,1,0,0
59,62999,5,1,0,0
60,64005,5,1,0,0
61,65016,4,1,0,0
